Название Магазина,Номер телефона,Адрес
Мебель в Москве,"8 (800) 555-01-97, 8 (495) 988-45-99","Москва, ул. Арбат, 54/2, стр. 8"
Альбофф-мебель,+7 (495) 761-40-25,"Москва, ул. Грайвороновская, 40а"
Fratelli Barri,+7 (495) 213-97-97,"Москва, Рублевское шоссе, 52а"
КЛАССИК,+7 (499) 322-23-71,"Москва, Киевское шоссе, стр. 1"
Золотые руки,"+7 (495) 765-82-98, +7 (985) 765-82-98","Россия, Москва, Новозаводская улица, 2"
Нет названия,Нет номера,Нет адресса
Фабрика МебельПлюс,+7 (915) 283-90-60,"108811, Москва, Московский, 1-й микрорайон, 52, павильон №5"
Мебельная мастерская София,+7 (499) 341-01-55,"111020, Москва, ул. 2-я Синичкина, 4, стр. 14"
Fiorenzo,8 (495) 127-71-75,"125362, Москва, ул. Водников, 2"
MnogoKuhni,+7 (499) 343-63-71,"Московская обл., Балашиха, кв-л Изумрудный, 11"
Студия мастерская Каменная Москва,+7 (495) 664-94-06,"Москва, Верейская улица, 29, строение 137"
Компания «Фиорензо Мебель»,8 (495) 481-40-91,"125362, Москва, ул. Водников, 2"
Первая Мебельная фабрика,+7 (812) 244-70-03,"Санкт-Петербург, Планерная ул., 15, лит.А"
Нет названия,Нет номера,Нет адресса
Изделия из искусственного камня MirCoriana,+7 (495) 220-55-25,"Москва, 6-я Радиальная, 17"
Healthsport,+7 (495) 477-33-08,"127273, Москва, Нововладыкинский проезд, 12 A"
Корпорация мебели,+7 (499) 490-46-80,"125438, Москва, Пакгаузное шоссе, 7"
Jac Paganel,+7 (495) 144-25-53,"Москва, Киевское шоссе 23 км, 8, стр. 1"
Ариус,+7 495 128-70-88,"Москва, ул. Молодцова, 9"
Радуга Стилей,"+7 (495) 227-53-80, +7 (926) 526-53-65","140070, Московская область, городской округ Люберцы, поселок городского типа Томилино, ул. Гоголя, 15/2"
АкрилСтоун,"+7 (499) 390-01-16, +7 (926) 654-77-66","Проектируемый пр. № 5112, 12А, стр. 1"
КЛАССИК,+7 (499) 322-24-49,"Москва, Дмитровское ш., 118, к. 1"
Студия кухни «Альдас»,8 (499) 347-12-27,"307182, Москва, улица Авиаконструктора Миля, 26 - Торговый центр ""Колибри"""
Атрима-мебель,+7 (495) 334-15-20,"Москва, ул. Введенского, 8, корп.3"
Группа компаний Мир торговли,"+7 (495) 649-33-62, +7 (926) 304-73-05, +7 (915) 330-93-66","115230, Электролитный пр., 3, стр. 2, Москва, Россия"
СлавПаркет,"+7 (495) 280-16-62, +7 (495) 979-44-01, +7 (499) 477-02-08, +7 (495) 452-93-93, +7 (499) 684-00-75, +7 (495) 389-65-81","125362, ул. Свободы, 29"
Мокша-Мебель,"+7 (495) 507-98-58, +7 (925) 925-07-21, +7 (925) 925-07-22","город Москва, Братиславская улица, 22"
Диваны Тут!,+7 (495) 989-76-78,"127411, Москва, Дмитровское ш., 118, корп.1, эт. 3"
Мебель-Королей,"+7 (495) 231-09-11, +7 (916) 447-77-11","Россия, Москва, улица Электродная, 8"
Румынская мебель Санна,"8 (800) 775-72-13, +7 (495) 772-82-04","Россия, Москва, поселение Московский, Киевское шоссе, 22-й километр, дв4с1кА, БП Румянцево, МЦ Мебель Park, эт. 3, секция D4"
Альмарос,+7 (495) 741-80-97,"Московская область, Ленинский район, Сельское поселение Совхоз им. Ленина, Торговый центр конструкотр вистовачная площадка учатка 2.6"
Эстет,"+7 (495) 201-34-83, +7 (985) 633-24-15","Россия, Москва, Волгоградский проспект, 32к25"
Italmaniya,"+7 (495) 718-73-88, +7 (495) 718-76-31","117420, Профсоюзная ул., 45"
Интера Кухни,"+7 (495) 236-85-95, +7 (499) 390-86-64","Россия, Москва, улица Обручева, 34/63"
